text,label
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
"Breaking: The government is hiding a secret 100% cure for all diseases discovered by a miracle doctor! Click here to see the exclusive report.",Fake
"Shocking revelation! Aliens have landed and the government is hiding them from the public. This is the truth they don't want you to know!",Fake
"A secret conspiracy to control the world economy has been uncovered by anonymous sources. Read this exclusive before it gets deleted.",Fake
"Miracle weight loss pill discovered! Lose 50 pounds in one week with no exercise. Doctors hate this one simple trick! Click here.",Fake
"The Federal Reserve announced a new monetary policy to adjust interest rates in an effort to combat rising inflation and stabilize the economy.",Real
"Local elections saw a record voter turnout yesterday. The newly elected mayor promised to focus on infrastructure and public education.",Real
"Scientists at the National University have published a new study on climate change, detailing the long-term effects of greenhouse gases on polar ice caps.",Real
"A new technology startup raised $50 million in Series B funding to develop AI-driven logistics software for supply chain management.",Real
